parent_asin,happier_group
0000098906,100% verified are happier
0007931727,100% verified are happier
0470536454,100% verified are happier
0634003224,81% verified are happier
0641843682,100% verified are happier
069267599X,100% verified are happier
0739058118,100% verified are happier
0739491431,100% verified are happier
0757908713,100% verified are happier
0793533929,100% verified are happier
0816091846,0% non-verified are happier
0849707501,0% non-verified are happier
0882847899,100% verified are happier
0897243889,0% non-verified are happier
0899333206,100% verified are happier
0899333990,100% verified are happier
0956695930,100% verified are happier
0978515234,100% verified are happier
0983074933,Sentiment is neutral for both
0985393300,62% verified are happier
1423463676,100% verified are happier
1458415287,100% verified are happier
1458441369,100% verified are happier
1458491269,Sentiment is neutral for both
1463575173,0% non-verified are happier
1465874399,100% verified are happier
1480398098,100% verified are happier
1561585300,100% verified are happier
1563834103,100% verified are happier
156939573X,100% non-verified are happier
1579183468,100% verified are happier
1599632977,100% verified are happier
1634438655,57% verified are happier
1783052732,100% verified are happier
1881322149,Sentiment is neutral for both
1926644743,100% verified are happier
1930448732,Sentiment is neutral for both
1935159062,100% non-verified are happier
1943050902,0% verified are happier
1946494011,100% verified are happier
197480772X,100% verified are happier
2643084152,100% verified are happier
4763196936,100% verified are happier
6025006407,100% verified are happier
614847932X,0% non-verified are happier
6152004349,Sentiment is neutral for both
8674394329,100% verified are happier
8895229304,67% verified are happier
9788077587,100% verified are happier
979077530X,100% verified are happier
9895513712,0% non-verified are happier
9895514107,0% non-verified are happier
9895515359,0% non-verified are happier
B00000J08C,100% non-verified are happier
B00000J50W,100% verified are happier
B00000K3Q6,100% verified are happier
B00004U8LC,100% non-verified are happier
B00004YO07,100% verified are happier
B00004YWK2,100% verified are happier
B000050AUD,100% non-verified are happier
B000050B6A,100% verified are happier
B000050FDE,68% verified are happier
B000050FEQ,100% verified are happier
B00005322I,100% non-verified are happier
B000056HNU,100% non-verified are happier
B00005ML71,Sentiment is neutral for both
B00005QTXI,100% verified are happier
B00005YWNB,100% verified are happier
B00006343B,100% non-verified are happier
B000063D2P,0% non-verified are happier
B000068O44,100% verified are happier
B000068O4E,100% verified are happier
B000068O4L,100% verified are happier
B000068O65,100% verified are happier
B000068PBL,100% non-verified are happier
B00006HOLL,74% verified are happier
B00006I51V,100% verified are happier
B00006I5SC,0% non-verified are happier
B00006I5SD,100% verified are happier
B00006ISBM,100% verified are happier
